1100,12000,13000
41,14,362
11,5,652
57,4,1019
71,17,922
24,7,737
37,91,948
55,86,583
30,77,66
22,48,203
103,118,618
28,12,161
80,37,1032
13,31,692
81,116,108
44,32,859
59,74,880
78,84,519
64,87,798
22,11,146
24,7,172
41,2,257
2,38,723
58,38,695
2,98,482
43,108,776
71,96,496
62,32,967
20,26,357
108,47,821
12,47,558
43,116,505
46,18,848
46,20,1042
37,90,912
31,70,862
105,46,898
90,7,932
100,102,230
72,77,719
65,118,338
51,71,298
101,9,177
9,44,216
78,52,915
41,34,4
66,98,104
40,54,617
97,4,580
76,105,1013
44,63,89
78,85,316
12,54,557
106,29,705
105,110,220
44,88,931
87,49,694
97,54,276
8,29,531
106,1,455
88,43,265
108,96,654
34,92,647
84,94,363
101,11,295
66,83,63
7,116,477
46,57,679
99,25,842
25,115,684
57,79,59
47,67,497
65,86,908
6,46,96
108,93,605
94,90,687
50,5,82
36,12,263
20,40,367
108,39,573
84,40,1027
12,82,37
17,38,301
21,116,632
7,30,420
40,5,527
78,85,1005
97,68,871
24,84,791
68,48,354
38,110,283
96,57,570
59,107,603
20,24,472
73,65,928
68,37,164
2,102,739
64,1,432
105,24,588
98,4,758
18,107,981
52,10,658
35,22,648
44,19,454
49,100,347
40,64,185
76,29,141
29,46,663
69,91,1061
50,109,847
9,13,161
40,30,619
53,47,1049
47,109,946
27,94,715
65,65,891
63,43,387
43,70,139
4,51,188
55,32,301
54,88,325
62,4,673
55,73,186
108,108,289
29,103,516
85,34,1091
100,115,454
10,61,184
44,48,123
72,5,539
37,17,631
23,49,687
81,19,425
79,57,156
33,15,778
32,99,333
99,26,265
12,70,1032
77,70,690
56,59,707
70,3,88
31,107,1073
105,71,1024
95,88,239
94,114,468
31,12,688
25,97,123
43,104,214
52,90,727
5,74,359
107,74,1059
100,88,91
9,83,532
57,10,149
60,8,356
85,50,112
82,25,406
69,40,935
58,3,566
78,36,784
51,103,390
89,32,638
45,86,756
21,81,566
85,117,959
28,113,207
9,102,369
1,89,543
12,27,1013
35,52,1077
103,99,572
82,97,554
23,44,730
10,54,445
90,27,1038
3,33,15
37,109,213
72,78,331
76,53,546
62,77,72
96,66,914
83,102,854
73,87,307
4,100,166
64,56,1086
83,118,491
5,14,600
14,60,247
3,4,166
86,37,440
7,24,358
59,97,832
102,26,600
90,96,544
80,99,287
51,28,184
106,90,615
48,61,489
106,97,112
83,15,1086
27,45,960
38,15,20
77,24,134
107,105,493
105,17,1042
104,28,332
2,11,1033
16,41,220
20,62,343
55,96,32
108,104,609
58,72,535
57,77,318
96,30,733
29,91,18
106,12,642
36,30,431
42,97,546
45,97,588
34,113,408
20,40,369
75,66,1081
108,22,93
87,87,773
73,106,571
72,73,842
96,39,416
91,95,259
28,63,187
40,55,258
106,25,46
26,55,735
59,82,959
46,41,446
29,6,47
58,104,81
109,92,527
80,109,765
64,43,75
47,16,406
17,15,509
74,102,109
72,27,82
42,35,482
63,18,899
77,109,544
24,50,1070
87,2,460
68,62,687
61,65,1058
47,30,955
92,28,238
1,54,97
83,63,1012
11,87,2
64,28,54
44,16,110
79,91,688
88,118,62
85,6,680
33,81,950
37,8,756
77,59,710
8,106,292
23,22,569
69,49,812
37,111,300
9,63,1040
102,75,616
72,111,511
25,95,649
95,47,355
79,84,451
65,113,1099
105,55,637
32,41,334
10,112,678
67,110,162
42,5,754
93,49,413
68,10,202
3,25,797
59,14,336
28,37,506
88,8,173
10,105,446
2,112,846
26,51,684
95,67,383
87,88,849
50,63,169
12,18,210
30,107,168
79,92,484
11,118,531
37,93,762
50,94,37
104,6,944
90,39,359
53,51,79
8,87,660
3,116,1062
98,100,853
38,100,517
87,65,50
85,113,725
78,109,790
43,90,517
82,9,166
75,70,851
49,83,761
56,8,525
64,102,421
51,10,866
70,101,583
94,3,189
89,68,841
51,51,1062
94,56,133
55,21,793
55,99,717
31,26,592
47,54,753
6,113,33
49,26,785
85,98,441
62,2,936
10,96,1025
79,66,332
43,48,934
68,29,747
95,81,510
48,21,91
25,15,795
96,110,950
18,13,619
74,46,29
100,108,1062
62,73,1021
86,103,23
29,76,333
65,44,806
25,64,419
1,19,452
76,116,850
57,91,948
46,54,711
6,85,1019
82,82,363
103,73,521
82,60,579
46,20,297
53,8,556
87,98,606
18,38,329
9,106,840
59,23,191
45,49,1008
71,102,678
87,74,580
103,56,294
103,42,455
67,37,1014
36,11,206
64,82,959
73,8,887
102,7,915
51,88,684
93,10,341
101,114,95
60,104,480
106,14,398
17,37,926
5,14,553
95,103,36
32,42,949
53,85,351
46,111,976
1,4,699
54,51,349
4,87,641
11,5,686
93,50,523
27,18,568
7,108,267
103,44,221
88,58,774
5,24,230
5,10,417
57,80,732
80,97,899
101,91,596
97,46,404
25,34,535
55,116,661
62,34,361
65,66,138
85,51,1048
64,103,950
43,69,844
94,52,344
15,92,869
74,108,456
33,50,805
69,74,977
59,24,363
93,97,998
1,18,695
81,77,539
81,63,909
65,95,632
40,87,1030
18,79,390
59,55,326
69,33,8
98,116,922
42,79,837
86,69,432
81,113,975
52,25,259
53,74,1090
97,33,796
23,55,823
64,81,352
92,20,725
87,87,549
103,60,349
104,44,713
86,10,216
51,18,669
13,33,175
9,7,211
9,84,103
65,56,1079
107,58,114
52,41,617
86,65,869
30,89,430
63,93,229
38,93,177
28,96,46
95,28,121
100,10,955
84,48,642
20,3,1083
59,72,809
9,71,480
79,77,999
1,34,981
64,10,99
107,39,142
79,54,1001
18,15,704
32,14,114
84,18,359
3,51,1035
10,72,758
36,99,196
94,66,610
66,25,444
36,15,606
47,45,195
46,83,965
99,45,716
68,112,80
64,41,497
25,115,52
26,50,913
55,74,68
45,11,71
71,102,1021
16,108,1088
